,,,,,,
,No,ID Donatur, Nominal ,Program,Donasi Tanggal,Cara Bayar
,1,DAD-00001," Rp 100,000 ",Becare Food,Januari 2021,Transfer
,2,DAD-00002," Rp 100,000 ",Becare Food,Januari 2021,Transfer
,3,DAD-00003," Rp 50,000 ",Becare Food,Januari 2021,Transfer
,4,DAD-00004," Rp 100,000 ",Becare Food,Januari 2021,Transfer
,5,DAD-00005," Rp 20,000 ",Becare Food,Januari 2021,Transfer
,6,DAD-00006," Rp 20,000 ",Becare Food,Januari 2021,Transfer
,7,DAD-00007," Rp 100,000 ",Becare Food,Januari 2021,Transfer
,8,DAD-00008," Rp 20,000 ",Becare Food,Januari 2021,Transfer
,9,DAD-00009," Rp 40,000 ",Becare Food,Januari 2021,Transfer
,10,DAD-00010," Rp 100,000 ",Becare Food,Januari 2021,Transfer
,11,DAD-00011," Rp 50,000 ",Becare Food,Januari 2021,Transfer
,12,DAD-00012," Rp 30,042 ",Becare Food,Januari 2021,Transfer
,13,DAD-00013," Rp 50,000 ",Becare Food,Januari 2021,Transfer
,14,DAD-00014," Rp 20,000 ",Becare Food,Januari 2021,Transfer
,15,DAD-00015," Rp 50,000 ",Wakaf Qur'an,Januari 2021,Transfer
,16,DAD-00016," Rp 50,000 ",Wakaf Qur'an,Januari 2021,Transfer
,17,DAD-00017," Rp 50,000 ",Wakaf Qur'an,Januari 2021,Transfer
,18,DAD-00018," Rp 100,000 ",Wakaf Qur'an,Januari 2021,Transfer
,19,DAD-00019," Rp 50,000 ",Wakaf Qur'an,Januari 2021,Transfer
,20,DAD-00020," Rp 50,000 ",Wakaf Qur'an,Januari 2021,Transfer
,21,DAD-00021," Rp 100,000 ",Wakaf Qur'an,Januari 2021,Transfer
,22,DAD-00022," Rp 500,000 ",Wakaf Qur'an,Januari 2021,Transfer
,23,DAD-00023," Rp 100,000 ",Wakaf Qur'an,Januari 2021,Transfer
,24,DAD-00024," Rp 750,000 ",Wakaf Qur'an,Januari 2021,Transfer
,25,DAD-00025," Rp 200,000 ",Wakaf Qur'an,Januari 2021,Transfer
,26,DAD-00026," Rp 50,000 ",Wakaf Qur'an,Januari 2021,Transfer
,27,DAD-00027," Rp 100,000 ",Wakaf Qur'an,Januari 2021,Transfer
,28,DAD-00028," Rp 50,000 ",Wakaf Qur'an,Januari 2021,Transfer
,29,DAD-00001," Rp 100,000 ",Becare Food,Januari 2021,Transfer
,30,DAD-00004," Rp 100,000 ",Becare Food,Januari 2021,Transfer
,31,DAD-00005," Rp 20,000 ",Becare Food,Januari 2021,Transfer
,32,DAD-00008," Rp 20,000 ",Becare Food,Januari 2021,Transfer
,33,DAD-00009," Rp 20,000 ",Becare Food,Januari 2021,Transfer
,34,DAD-00008," Rp 22,000 ",Becare Food,Januari 2021,Transfer
,35,DAD-00004," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,36,DAD-00005," Rp 20,000 ",Becare Food,Februari 2021,Transfer
,37,DAD-00009," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,38,DAD-00013," Rp 61,417 ",Becare Food,Februari 2021,Transfer
,39,DAD-00029," Rp 200,000 ",Becare Food,Februari 2021,Transfer
,40,DAD-00030," Rp 20,000 ",Becare Food,Februari 2021,Transfer
,41,DAD-00031," Rp 300,000 ",Becare Food,Februari 2021,Transfer
,42,DAD-00032," Rp 40,000 ",Becare Food,Februari 2021,Transfer
,43,DAD-00033," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,44,DAD-00034," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,45,DAD-00035," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,46,DAD-00036," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,47,DAD-00037," Rp 50,000 ",Becare Food,Februari 2021,Transfer
,48,DAD-00038," Rp 20,000 ",Becare Food,Februari 2021,Transfer
,49,DAD-00039," Rp 160,000 ",Becare Food,Februari 2021,Transfer
,50,DAD-00040," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,51,DAD-00041," Rp 40,000 ",Becare Food,Februari 2021,Transfer
,52,DAD-00042," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,53,DAD-00043," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,54,DAD-00044," Rp 100,001 ",Becare Food,Februari 2021,Transfer
,55,DAD-00045," Rp 120,000 ",Becare Food,Februari 2021,Transfer
,56,DAD-00046," Rp 50,000 ",Becare Food,Februari 2021,Transfer
,57,DAD-00047," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,58,DAD-00048," Rp 50,000 ",Becare Food,Februari 2021,Transfer
,59,DAD-00049," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,60,DAD-00050," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,61,DAD-00051," Rp 250,000 ",Becare Food,Februari 2021,Transfer
,62,DAD-00052," Rp 50,000 ",Becare Food,Februari 2021,Transfer
,63,DAD-00053," Rp 100,000 ",Becare Food,Februari 2021,Transfer
,64,DAD-00054," Rp 200,000 ",Becare Food,Februari 2021,Transfer
,65,DAD-00055," Rp 20,000 ",Becare Food,Februari 2021,Transfer
,66,DAD-00015," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,67,DAD-00019," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,68,DAD-00056," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,69,DAD-00057," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,70,DAD-00058," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,71,DAD-00059," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,72,DAD-00060," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,73,DAD-00061," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,74,DAD-00062," Rp 60,000 ",Wakaf Qur'an,Februari 2021,Transfer
,75,DAD-00063," Rp 500,000 ",Wakaf Qur'an,Februari 2021,Transfer
,76,DAD-00064," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,77,DAD-00065," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,78,DAD-00066," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,79,DAD-00067," Rp 150,000 ",Wakaf Qur'an,Februari 2021,Transfer
,80,DAD-00068," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,81,DAD-00069," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,82,DAD-00070," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,83,DAD-00071," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,84,DAD-00072," Rp 60,000 ",Wakaf Qur'an,Februari 2021,Transfer
,85,DAD-00073," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,86,DAD-00074," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,87,DAD-00075," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,88,DAD-00076," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,89,DAD-00077," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,90,DAD-00078," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,91,DAD-00079," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,92,DAD-00080," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,93,DAD-00081," Rp 200,000 ",Wakaf Qur'an,Februari 2021,Transfer
,94,DAD-00082," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,95,DAD-00083," Rp 150,000 ",Wakaf Qur'an,Februari 2021,Transfer
,96,DAD-00084," Rp 500,000 ",Wakaf Qur'an,Februari 2021,Transfer
,97,DAD-00085," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,98,DAD-00086," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,99,DAD-00087," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,100,DAD-00088," Rp 250,000 ",Wakaf Qur'an,Februari 2021,Transfer
,101,DAD-00089," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,102,DAD-00090," Rp 100,000 ",Wakaf Qur'an,Februari 2021,Transfer
,103,DAD-00091," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,104,DAD-00092," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
,105,DAD-00093," Rp 50,000 ",Wakaf Qur'an,Februari 2021,Transfer
