ID Donatur,recency,frequency,monetary,last_date,last_nominal,program,cara_bayar,monetary_log,cluster,churn,segmen,prob_churn,prediksi
DAD-00001,1460,2,200000.0,2022-01-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00002,1279,6,600000.0,2022-07-01,100000.0,Becare Food,Transfer,13.304686600863562,2,0,Tidak Churn,1.1742188e-06,0
DAD-00003,1460,2,100000.0,2022-01-01,50000.0,Becare Food,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00004,1279,16,1800000.0,2022-07-01,200000.0,Becare Food,Transfer,14.403297778421795,2,0,Tidak Churn,2.0745604e-06,0
DAD-00005,1309,11,500000.0,2022-06-01,100000.0,Becare Food,Transfer,13.122365377402328,2,0,Tidak Churn,1.1497352e-06,0
DAD-00006,1460,2,40000.0,2022-01-01,20000.0,Becare Food,Transfer,10.596659732783579,2,0,Tidak Churn,0.00051167863,0
DAD-00007,1460,2,200000.0,2022-01-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00008,1370,6,124000.0,2022-04-01,20000.0,Becare Food,Transfer,11.728044909070785,2,0,Tidak Churn,3.5984158e-06,0
DAD-00009,1279,20,720000.0,2022-07-01,40000.0,Becare Food,Transfer,13.487007879880162,2,0,Tidak Churn,1.4230081e-06,0
DAD-00010,1279,6,500000.0,2022-07-01,50000.0,Becare Food,Transfer,13.122365377402328,2,0,Tidak Churn,1.2235693e-06,0
DAD-00011,1370,4,300000.0,2022-04-01,100000.0,Becare Food,Transfer,12.611541086966115,2,0,Tidak Churn,1.6987844e-06,0
DAD-00012,1401,4,160084.0,2022-03-01,50000.0,Becare Food,Transfer,11.98346020315264,2,0,Tidak Churn,2.0426837e-06,0
DAD-00013,453,14,887834.0,2024-10-04,50000.0,Becare Food,Transfer,13.696541193898529,1,1,Berpotensi Churn,0.9998172,1
DAD-00014,1460,2,40000.0,2022-01-01,20000.0,Becare Food,Transfer,10.596659732783579,2,0,Tidak Churn,0.00051167863,0
DAD-00015,124,46,3110350.0,2025-08-29,50000.0,Pulihkan Duka Negeri Palestina,Transfer,14.950246139523344,0,0,Tidak Churn,0.00036074527,0
DAD-00016,1279,10,510000.0,2022-07-01,70000.0,Becare Food,Transfer,13.1421679654829,2,0,Tidak Churn,1.1033627e-06,0
DAD-00017,1460,2,100000.0,2022-01-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00018,1460,2,200000.0,2022-01-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00019,306,13,1000000.0,2025-02-28,150000.0,Wakaf Qur'an,Transfer,13.815511557963774,1,1,Berpotensi Churn,0.9999442,1
DAD-00020,1460,2,100000.0,2022-01-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00021,1279,4,320000.0,2022-07-01,60000.0,Becare Food,Transfer,12.676079399771027,2,0,Tidak Churn,1.6987844e-06,0
DAD-00023,1460,2,200000.0,2022-01-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00024,1370,2,500000.0,2022-04-01,250000.0,Wakaf Qur'an,Transfer,13.122365377402328,2,0,Tidak Churn,1.8350465e-06,0
DAD-00025,563,3,500000.0,2024-06-16,100000.0,Wakaf Qur'an,Transfer,13.122365377402328,1,1,Berpotensi Churn,0.9999831,1
DAD-00026,1460,2,100000.0,2022-01-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00027,1460,2,200000.0,2022-01-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00028,1460,2,100000.0,2022-01-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00029,1401,6,1000000.0,2022-03-01,200000.0,Becare Food,Transfer,13.815511557963774,2,0,Tidak Churn,1.9828908e-06,0
DAD-00030,1279,4,80000.0,2022-07-01,20000.0,Becare Food,Transfer,11.289794413577894,2,0,Tidak Churn,5.3908343e-06,0
DAD-00031,870,3,800000.0,2023-08-14,200000.0,Becare Food,Transfer,13.592368256649284,2,0,Tidak Churn,1.9225529e-06,0
DAD-00032,1429,2,80000.0,2022-02-01,40000.0,Becare Food,Transfer,11.289794413577894,2,0,Tidak Churn,7.2823996e-06,0
DAD-00033,1429,2,200000.0,2022-02-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00034,1429,2,200000.0,2022-02-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00035,1279,6,600000.0,2022-07-01,100000.0,Becare Food,Transfer,13.304686600863562,2,0,Tidak Churn,1.1742188e-06,0
DAD-00036,1279,4,300000.0,2022-07-01,50000.0,Becare Food,Transfer,12.611541086966115,2,0,Tidak Churn,1.6987844e-06,0
DAD-00037,1370,4,200000.0,2022-04-01,50000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.025184e-06,0
DAD-00038,26,34,2220000.0,2025-12-05,100000.0,Becare Food,Transfer,14.613018204298811,0,0,Tidak Churn,0.00045144922,0
DAD-00039,1370,4,520000.0,2022-04-01,100000.0,Becare Food,Transfer,13.161586013632684,2,0,Tidak Churn,1.3036134e-06,0
DAD-00040,348,3,250000.0,2025-01-17,50000.0,Becare Food,Transfer,12.429220196836383,1,1,Berpotensi Churn,0.99999654,1
DAD-00041,1429,2,80000.0,2022-02-01,40000.0,Becare Food,Transfer,11.289794413577894,2,0,Tidak Churn,7.2823996e-06,0
DAD-00042,1429,2,200000.0,2022-02-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00043,1429,2,200000.0,2022-02-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00044,999,9,950002.0,2023-04-07,150000.0,Becare Food,Transfer,13.764220421466474,2,0,Tidak Churn,1.9828908e-06,0
DAD-00045,516,14,2395000.0,2024-08-02,300000.0,Becare Food,Transfer,14.6888942063636,1,1,Berpotensi Churn,0.95726895,1
DAD-00046,1279,10,380000.0,2022-07-01,20000.0,Becare Food,Transfer,12.847929163278053,2,0,Tidak Churn,1.3646307e-06,0
DAD-00047,1309,8,840000.0,2022-06-01,100000.0,Becare Food,Transfer,13.641158361294979,2,0,Tidak Churn,1.6761821e-06,0
DAD-00048,1083,5,160000.0,2023-01-13,10000.0,Becare Food,Transfer,11.982935344196433,2,0,Tidak Churn,1.9537208e-06,0
DAD-00049,1029,11,842500.0,2023-03-08,62500.0,Becare Food,Transfer,13.64413012815157,2,0,Tidak Churn,1.575036e-06,0
DAD-00050,1429,2,200000.0,2022-02-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00051,1279,4,800000.0,2022-07-01,150000.0,Becare Food,Transfer,13.592368256649284,2,0,Tidak Churn,1.8608912e-06,0
DAD-00052,1429,2,100000.0,2022-02-01,50000.0,Becare Food,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00053,1279,10,480000.0,2022-07-01,50000.0,Becare Food,Transfer,13.081543466215237,2,0,Tidak Churn,1.1497352e-06,0
DAD-00054,1370,6,1200000.0,2022-04-01,200000.0,Becare Food,Transfer,13.997832948091215,2,0,Tidak Churn,2.1020796e-06,0
DAD-00055,1429,2,40000.0,2022-02-01,20000.0,Becare Food,Transfer,10.596659732783579,2,0,Tidak Churn,0.00051167863,0
DAD-00056,1429,2,200000.0,2022-02-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00057,1309,8,600000.0,2022-06-01,50000.0,Wakaf Qur'an,Transfer,13.304686600863562,2,0,Tidak Churn,1.1742188e-06,0
DAD-00058,1091,9,680000.0,2023-01-05,100000.0,Wakaf Qur'an,Transfer,13.429849547739444,2,0,Tidak Churn,1.3307226e-06,0
DAD-00059,1429,2,200000.0,2022-02-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00060,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00061,1429,2,200000.0,2022-02-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00062,1429,2,120000.0,2022-02-01,60000.0,Wakaf Qur'an,Transfer,11.695255355062795,2,0,Tidak Churn,5.3967187e-06,0
DAD-00063,1370,2,200000.0,2022-04-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00064,1429,2,200000.0,2022-02-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00065,1097,10,697512.0,2022-12-30,57512.0,Wakaf Qur'an,Transfer,13.455276430496804,2,0,Tidak Churn,1.575036e-06,0
DAD-00066,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00067,1429,2,300000.0,2022-02-01,150000.0,Wakaf Qur'an,Transfer,12.611541086966115,2,0,Tidak Churn,2.294864e-06,0
DAD-00068,803,3,400000.0,2023-10-20,200000.0,Wakaf Qur'an,Transfer,12.899222326086994,2,0,Tidak Churn,1.6657236e-06,0
DAD-00069,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00070,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00071,148,39,3200000.0,2025-08-05,100000.0,Syiar Qur'an Indonesia,Transfer,14.978661680269907,0,0,Tidak Churn,0.0006733692,0
DAD-00072,1401,4,240000.0,2022-03-01,60000.0,Wakaf Qur'an,Transfer,12.388398368982115,2,0,Tidak Churn,1.9113281e-06,0
DAD-00073,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
